91	51	25	79	46	59	49	44	48	45
15	6	47	85	94	4	84	5	60	8
96	61	68	80	83	64	1	21	88	32
19	33	52	8	22	21	69	34	78	88
42	56	31	98	77	69	73	71	40	77
91	8	4	32	80	89	56	71	38	91
74	39	5	12	19	36	100	41	11	39
60	69	52	94	10	79	60	31	7	92
10	75	41	37	6	87	15	44	69	85
76	42	60	76	26	20	34	92	84	89
64	12	94	57	5	15	43	1	13	49
29	95	75	87	10	79	92	92	6	87
18	31	81	23	99	76	25	81	80	92
85	67	8	63	71	87	17	70	94	60
73	91	81	98	20	98	98	9	42	33
48	40	67	27	61	30	10	20	3	31
11	18	8	75	43	88	88	64	74	13
60	21	48	16	2	71	56	35	32	43
55	3	97	55	56	46	29	84	100	92
91	26	34	10	35	38	61	18	39	34
36	63	54	51	88	39	10	66	8	85
64	42	80	72	89	3	92	11	91	29
76	14	3	93	55	47	54	70	52	47
44	13	96	49	35	53	93	74	58	87
2	93	34	6	9	1	98	66	46	47
31	19	56	68	76	26	5	21	89	68
30	33	72	88	85	90	19	54	13	47
67	68	1	17	87	19	41	57	43	75
61	68	15	79	32	44	74	48	23	78
89	71	69	26	57	37	14	96	28	95
26	53	6	34	27	16	19	52	96	54
48	71	62	46	21	84	83	36	39	32
69	28	63	96	17	50	8	98	44	3
3	56	8	70	85	42	60	51	99	81
49	99	84	22	18	11	23	9	87	33
45	57	92	31	26	98	90	50	99	39
52	14	13	86	11	74	73	71	77	52
97	12	76	36	19	72	60	18	85	71
73	43	68	49	33	80	91	46	71	10
73	15	31	40	61	31	96	64	1	94
98	15	94	8	9	42	21	35	22	74
72	10	17	64	35	66	76	92	13	60
21	56	85	79	2	38	36	5	73	30
48	22	7	38	37	47	86	51	76	78
45	69	70	11	43	77	37	33	8	12
1	83	62	32	57	99	11	29	8	21
97	33	74	93	43	14	19	31	84	39
25	11	37	37	88	39	51	71	4	92
27	61	91	42	32	8	76	66	24	49
58	66	99	98	28	55	46	55	73	34
85	3	68	39	4	18	47	42	8	9
28	86	18	91	4	62	45	83	28	53
3	45	24	44	44	28	64	69	45	99
77	21	35	60	68	28	52	17	79	88
89	52	87	44	25	29	68	14	41	94
42	79	23	54	69	65	46	40	22	73
16	97	59	63	52	87	11	79	71	51
69	13	54	13	88	53	55	92	70	46
50	12	15	3	16	8	54	41	29	38
77	42	9	54	16	49	14	87	76	5
61	3	76	86	86	83	4	60	30	94
33	13	36	79	30	13	64	84	38	28
54	6	43	88	26	40	78	98	63	17
87	73	68	92	15	92	39	67	4	92
39	30	83	39	91	96	33	61	40	83
77	61	92	23	99	91	51	19	29	36
10	68	11	47	60	29	21	76	43	98
21	99	95	99	58	95	74	40	75	4
80	50	6	39	49	57	5	16	68	44
21	21	59	43	75	65	92	37	88	16
96	25	33	20	70	29	39	68	31	33
47	71	2	60	72	7	64	9	68	47
37	38	19	8	6	80	79	25	81	10
73	61	1	41	54	6	1	17	82	5
99	11	85	97	10	69	41	70	91	87
23	7	4	2	7	68	89	73	85	3
63	96	30	75	20	54	81	92	34	18
46	7	90	71	38	11	100	32	4	65
71	40	19	98	46	55	84	10	7	61
35	55	50	20	47	64	52	65	30	88
62	82	2	46	65	73	37	55	87	85
83	53	64	75	49	14	76	23	95	25
18	41	82	69	24	17	56	74	62	32
17	22	43	59	32	62	56	91	12	100
24	71	3	13	90	69	70	75	7	18
16	25	44	15	99	22	7	1	35	49
28	89	9	40	58	73	93	28	5	71
4	22	81	75	21	7	25	23	98	85
35	19	52	16	33	80	79	35	41	87
62	19	94	14	68	43	10	3	47	66
46	21	25	87	96	55	53	76	58	34
100	36	73	60	11	38	86	76	84	95
40	11	77	47	57	81	39	74	6	82
15	61	21	17	7	83	28	26	95	8
80	98	92	17	43	52	58	66	13	9
11	45	34	45	33	62	57	37	6	17
98	2	28	25	72	48	60	34	19	74
92	56	8	4	94	57	91	96	91	76
40	93	93	96	61	97	97	33	66	20
76	99	77	39	87	37	42	18	13	79
